id,Title,Category,Active,subtitle,articles,description,Created on
14082,Paterson Silk Strike 1913,topic,True,Timeline of people's history stories about the 1913 Paterson Silk Strike.,"1913 Paterson silk strike starts,Mass meeting at Botto House,Paterson Strike Pagent",,02/06/2023 15:51
14073,Pauline Hanson,person,True,"Timeline of people's history stories about Pauline Hanson, a far-right Australian politician.",One Nation party launch disrupted,,05/05/2023 12:16
14072,One Nation,organisation,True,"Timeline of people's history stories about the One Nation, a far-right political party in Australia.",One Nation party launch disrupted,,05/05/2023 12:14
13970,Amalgamated Association of Street and Electric Railway Employees of America,organisation,True,Timeline of people's history stories about the Amalgamated Association of Street and Electric Railway Employees of America union,Indianapolis streetcar strike,,02/11/2022 14:21
13972,Halloween,topic,True,Timeline of people's history stories about Halloween,"Indianapolis streetcar strike,North Berwick witch trials",,02/11/2022 14:22
13971,Indianapolis,city_area,True,"Timeline of people's history stories about Indianapolis, Indiana.",Indianapolis streetcar strike,,02/11/2022 14:22
14103,Apulia,city_area,True,Timeline of people's history stories about the Italian region of Apulia..,"Bari massacre,Nicola Sacco born",,25/07/2023 12:54
14069,Geelong,city_area,True,"Timeline of people's history stories about Geelong, Victoria.","Geelong Regional Libraries strike,One Nation party launch disrupted",,25/04/2023 09:32
13969,Jina Mahsa Amini,person,True,"Timeline of people's history stories about Jina Mahsa Amini, the young Kurdish woman who died in the custody of the ""morality police"" in Iran, 2022.",Iranian women protest,,28/10/2022 21:51
13968,Bordeaux,city_area,True,"Timeline of stories about the city of Bordeaux, France.","""Blockades on Rue Sainte-Catherine, Bordeaux"",""Blockade on Cours Victor Hugo, Bordeaux"",""Barricade on Rue des Ayres, Bordeaux"",""Barricades on Rue Paul Bert, Bordeaux""",,25/10/2022 23:58
13966,Boyevaya Organizatsiya Anarkho-Kommunistov,organisation,True,"Timeline of stories about the Boyevaya Organizatsiya Anarkho-Kommunistov (Anarcho-Communist Combat Organisation), active in Russia in the 2020s.",Military rail sabotage,,20/10/2022 20:32
13965,Mario Fiorentini,person,True,"Timeline of stories about Italian partisan, Mario Fiorentini.","Attack on Regina Coeli prison,Via Rasella attack",,05/10/2022 08:40
13964,Amalgamated Trade Union of Swaziland,organisation,True,Timeline of stories about the Amalgamated Trade Union of Swaziland in Eswatini.,Eswatini textile strike,,30/09/2022 07:22
13963,Eswatini,country,True,Timeline of stories about the Kingdom of Eswatini,"Eswatini textile strike,Ubombo Ranches strike,Peak Timber strike,Havelock miners strike",,30/09/2022 07:22
13930,Giorgia Meloni,person,True,Timeline of content about Italian far-right politician Georgia Meloni,Circeo massacre,,29/09/2022 15:54
13929,Savoie,city_area,True,Timeline of stories about the Savoie department of France.,Georges Borrel born,,19/08/2022 15:52
13928,T-Bone Slim,person,True,"Timeline of stories about hobo author and songwriter, T-Bone Slim.","T-Bone Slim's body found,T-Bone Slim born",,11/08/2022 16:43
